super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_macro_f1,cycle_seconds,train_loss_v1,val_loss_v1,val_macro_f1_v1,val_accuracy_v1,train_loss_v2,val_loss_v2,val_macro_f1_v2,val_accuracy_v2,train_loss_v3,val_loss_v3,val_macro_f1_v3,val_accuracy_v3,train_loss_v4,val_loss_v4,val_macro_f1_v4,val_accuracy_v4
1,"v1,v3,v4,v2",4,4,4,4,1.0670047402381897,1.0522737205028534,0.32812146412315873,0.32812146412315873,0.6876216027885675,1.1004940271377563,1.0282258987426758,0.34827665992049556,0.47368421052631576,1.0487991571426392,1.083130121231079,0.22745542111407024,0.388755980861244,1.082136631011963,1.062009334564209,0.379765320831481,0.49760765550239233,1.0365891456604004,1.0357295274734497,0.35698845462658796,0.4784688995215311
2,"v1,v4,v3,v2",8,8,8,8,0.8140389919281006,0.9930166751146317,0.48454833080711623,0.48454833080711623,0.15176055394113064,0.8738017678260803,0.9904987215995789,0.5128684741566666,0.5633971291866029,0.7762996554374695,1.0180720090866089,0.42450244085792327,0.5370813397129187,0.8183298110961914,0.9596415758132935,0.49826388888888884,0.5741626794258373,0.7877247333526611,1.0038543939590454,0.5025585193249863,0.5490430622009569
3,"v1,v3,v4,v2",12,12,12,12,0.30581578239798546,1.1315557956695557,0.5721888632734701,0.5721888632734701,0.15567981591448188,0.3840404748916626,1.3326561450958252,0.5824332819304208,0.5873205741626795,0.21766148507595062,0.9415345788002014,0.5552418563189317,0.5789473684210527,0.4027867317199707,0.9250310063362122,0.5918159730150241,0.6052631578947368,0.2187744379043579,1.3270014524459839,0.5592643418295035,0.5633971291866029
4,"v2,v4,v3,v1",16,16,16,16,0.06150637427344918,1.581511378288269,0.5814796554367767,0.5814796554367767,0.16746826702728868,0.016079191118478775,1.9255125522613525,0.5808826569032955,0.5861244019138756,0.12575280666351318,1.2358691692352295,0.5770303960697719,0.5885167464114832,0.022791406139731407,1.3166142702102661,0.6011393128360811,0.611244019138756,0.08140209317207336,1.848049521446228,0.5668662559379583,0.5717703349282297
5,"v1,v2,v3,v4",20,20,20,20,0.0026426029799040407,2.213559091091156,0.5805582828405901,0.5814796554367767,0.15621859207749367,0.007093293592333794,2.5821681022644043,0.579306643658895,0.5861244019138756,0.001886401092633605,1.8569334745407104,0.5867498939646868,0.5933014354066986,0.0007036756142042577,1.981141448020935,0.5847823761269119,0.5933014354066986,0.0008870416204445064,2.433993339538574,0.5713942176118666,0.5789473684210527
6,"v1,v3,v4,v2",24,24,24,24,0.00035656626687341486,2.8225622177124023,0.5729011532655206,0.5814796554367767,0.23604173585772514,0.0008905220893211663,3.150228500366211,0.5706357735738949,0.5801435406698564,1.1372829249012284e-05,2.5244548320770264,0.579203317008195,0.5849282296650717,5.485970541485585e-05,2.662702798843384,0.5713254420092511,0.5789473684210527,0.00046951044350862503,2.9528627395629883,0.5704400804707417,0.5801435406698564
7,"v2,v3,v1,v4",28,28,28,28,4.364577324622587e-05,3.3368808031082153,0.5709434255824897,0.5814796554367767,0.12941710208542645,0.00012744097330141813,3.6102824211120605,0.5613263554484291,0.5717703349282297,5.15207284479402e-06,3.1102166175842285,0.5797938580072377,0.583732057416268,2.636131057442981e-06,3.254411220550537,0.5682317066503125,0.5765550239234449,3.935391578124836e-05,3.372612953186035,0.5744217822239795,0.583732057416268
8,"v1,v4,v3,v2",32,32,32,32,1.1696620939360969e-05,3.737039864063263,0.5682646602747607,0.5814796554367767,0.12408551992848516,2.5029441530932672e-05,3.9587996006011963,0.5591284345668592,0.5705741626794258,7.452909045468914e-08,3.5760836601257324,0.5800671119666303,0.5849282296650717,4.795522841050115e-07,3.723083972930908,0.5622924073478511,0.569377990430622,2.1202960851951502e-05,3.690192222595215,0.5715706872177022,0.5813397129186603
9,"v2,v4,v3,v1",36,36,36,36,4.111269884532476e-06,4.032165586948395,0.5679441504354789,0.5814796554367767,0.15056641888804734,3.829200068139471e-06,4.210531711578369,0.5588325123809817,0.5705741626794258,1.0138332129372429e-07,3.9249894618988037,0.5790224828934506,0.583732057416268,6.098255767028604e-08,4.072890758514404,0.5631869181086274,0.5705741626794258,1.2453513591026422e-05,3.920250415802002,0.5707346883588554,0.5801435406698564
10,"v3,v1,v2,v4",40,40,40,40,8.432568222360715e-06,4.240333437919617,0.5700243191427375,0.5814796554367767,0.11607480701059103,1.6318843336193822e-05,4.3836894035339355,0.5623211591488476,0.5741626794258373,3.9925794226292055e-08,4.175554275512695,0.5815293562977049,0.5861244019138756,1.627253709557408e-06,4.323134899139404,0.5633028353219902,0.5705741626794258,1.5744250049465336e-05,4.078955173492432,0.5729439258024075,0.5825358851674641
11,"v1,v3,v4,v2",44,44,44,44,3.902222569962532e-06,4.380352020263672,0.5684712948010708,0.5814796554367767,0.11722226906567812,3.840600129478844e-06,4.496046543121338,0.5603853137223841,0.5717703349282297,1.3269615806166257e-07,4.348332405090332,0.5776875947154584,0.5825358851674641,8.88302480461789e-08,4.495171070098877,0.5610063913704044,0.5681818181818182,1.1546763744263444e-05,4.181858062744141,0.5748058793960363,0.583732057416268
12,"v4,v2,v3,v1",48,48,48,48,8.81786647972671e-05,4.447507381439209,0.5683392028275628,0.5814796554367767,0.19703475199639797,3.063292297156295e-06,4.524849891662598,0.5617834524113812,0.5729665071770335,7.509970423313916e-09,4.457085132598877,0.5788615356836623,0.583732057416268,1.4972343365116103e-08,4.5997772216796875,0.5598171333483805,0.5669856459330144,0.0003496288845781237,4.208317279815674,0.5728946898668269,0.5813397129186603
13,"v4,v3,v1,v2",52,52,52,52,1.3532747047406701e-06,4.490507006645203,0.5675047061302514,0.5814796554367767,0.22337530506774783,3.482148258626694e-06,4.543932914733887,0.5612989109561844,0.5717703349282297,5.137891534445771e-08,4.525400638580322,0.577799243479068,0.5825358851674641,2.3290116502039382e-08,4.665073394775391,0.5601554614722088,0.5669856459330144,1.8562815284894896e-06,4.227621078491211,0.5707652086135445,0.5789473684210527
14,"v1,v2,v4,v3",56,56,56,56,9.177945392568887e-07,4.51290488243103,0.5667047236476862,0.5814796554367767,0.10744580021128058,9.888269687508e-07,4.550538063049316,0.561185622908563,0.5717703349282297,1.8354062376602087e-06,4.564470291137695,0.5757100055575562,0.5801435406698564,7.557511061406785e-09,4.701807498931885,0.5592691622103386,0.5657894736842105,8.393874395551393e-07,4.234803676605225,0.5706541039142873,0.5789473684210527
