super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
1,"v3,v1",2,6,3,6,2,1.8603901267051697,0.6969659924507141,0.6969659924507141,0.16965578286908567,2.0800125201543174,0.6986252665519714,1.6407677332560222,0.6953067183494568
2,"v1,v3",4,12,3,12,4,1.3260928591092427,1.2199597358703613,0.6969659924507141,0.13113721902482212,1.3264952500661213,1.6809899806976318,1.325690468152364,0.7589294910430908
3,"v1,v3",6,18,3,18,6,1.4660802086194356,0.677791953086853,0.677791953086853,0.16408000304363668,1.644816478093465,0.698312520980835,1.287343939145406,0.6572713851928711
4,"v1,v3",8,24,3,24,8,1.2660175959269206,0.7023960053920746,0.677791953086853,0.12591221905313432,1.3131527105967205,0.7503938674926758,1.2188824812571208,0.6543981432914734
5,"v1,v3",10,30,3,30,10,1.136597990989685,0.6536312997341156,0.6536312997341156,0.16395210707560182,1.2166944742202759,0.6994231343269348,1.0565015077590942,0.6078394651412964
6,"v3,v1",12,36,3,36,12,0.9751908183097839,0.5882013440132141,0.5882013440132141,0.16134966909885406,0.9838542143503824,0.6020561456680298,0.9665274222691854,0.5743465423583984
7,"v3,v1",14,42,3,42,14,0.8882742325464884,0.6914017498493195,0.5882013440132141,0.1301221139729023,0.8807046810785929,0.6652206778526306,0.8958437840143839,0.7175828218460083
8,"v3,v1",16,48,3,48,16,0.9700210293134053,0.7363288998603821,0.5882013440132141,0.12659116997383535,0.9900883237520853,0.6562888026237488,0.9499537348747253,0.8163689970970154
9,"v3,v1",18,54,3,54,18,0.9212128420670826,0.7236538529396057,0.5882013440132141,0.128506971988827,1.0219708283742268,0.6609009504318237,0.8204548557599386,0.7864067554473877
10,"v1,v3",20,60,3,60,20,0.7044081290562948,0.597608357667923,0.5882013440132141,0.13248010003007948,0.7797002991040548,0.5852553248405457,0.6291159590085348,0.6099613904953003
11,"v3,v1",22,66,3,66,22,0.5388873269160588,0.9116746187210083,0.5882013440132141,0.12664590892381966,0.522181878487269,0.7381983995437622,0.5555927753448486,1.0851508378982544
12,"v3,v1",24,72,3,72,24,0.5002249975999196,0.7154568731784821,0.5882013440132141,0.1289189038798213,0.46504658460617065,0.7160953879356384,0.5354034105936686,0.7148183584213257
13,"v3,v1",26,78,3,78,26,0.39395173390706384,0.752793699502945,0.5882013440132141,0.12855763989500701,0.37259326378504437,0.7017316818237305,0.41531020402908325,0.8038557171821594
14,"v3,v1",28,84,3,84,28,0.2835395286480586,0.7447136044502258,0.5882013440132141,0.12815118883736432,0.26284293333689374,0.6729155778884888,0.30423612395922345,0.8165116310119629
15,"v1,v3",30,90,3,90,30,0.2116764485836029,0.7482512593269348,0.5882013440132141,0.13150919904001057,0.22258559366067251,0.6516467928886414,0.2007673035065333,0.8448557257652283
16,"v1,v3",32,96,3,96,32,0.18051905433336893,0.8038301765918732,0.5882013440132141,0.12768856598995626,0.1859033058087031,0.7385416030883789,0.17513480285803476,0.8691187500953674
17,"v3,v1",34,102,3,102,34,0.13961508870124817,0.7798648774623871,0.5882013440132141,0.12691577896475792,0.1260161300500234,0.6897153854370117,0.15321404735247293,0.8700143694877625
18,"v3,v1",36,108,3,108,36,0.1009989008307457,0.8985148966312408,0.5882013440132141,0.1313876931089908,0.09427281717459361,0.8271865248680115,0.10772498448689778,0.9698432683944702
19,"v3,v1",38,114,3,114,38,0.08964681997895241,0.8919047713279724,0.5882013440132141,0.12736474396660924,0.0863465666770935,0.8144071698188782,0.09294707328081131,0.9694023728370667
20,"v1,v3",40,120,3,120,40,0.07364322741826376,0.9055634140968323,0.5882013440132141,0.1273231168743223,0.06986375898122787,0.832520604133606,0.07742269585529964,0.9786062240600586
21,"v3,v1",42,126,3,126,42,0.058108718444903694,0.9248642921447754,0.5882013440132141,0.12767983390949667,0.055880350371201835,0.8543049097061157,0.06033708651860555,0.9954236745834351
