dataset,training_regime,seed,variant_a,variant_b,comparison,kendall_tau,kendall_tau_at_1,kendall_tau_at_3,instance_count,valid_tau_count,valid_tau_at_1_count,valid_tau_at_3_count
imdb_lp_ml,IMDb1--4,20241017,v1,v2,IMDb1 vs IMDb2,0.5480559602051744,-0.015568862275449102,0.10125507279007383,836,836,835,836
imdb_lp_ml,IMDb1--4,20241017,v1,v3,IMDb1 vs IMDb3,0.6174590001441052,0.1281437125748503,0.1974018230598019,836,836,835,836
imdb_lp_ml,IMDb1--4,20241017,v1,v4,IMDb1 vs IMDb4,0.7404147789492135,0.3317365269461078,0.3632573723057349,836,836,835,836
imdb_lp_ml,IMDb1--4,20241017,v2,v3,IMDb2 vs IMDb3,0.7293880634600856,0.2942583732057416,0.35007974481658694,836,836,836,836
imdb_lp_ml,IMDb1--4,20241017,v2,v4,IMDb2 vs IMDb4,0.657718458826492,0.26555023923444976,0.2648325358851674,836,836,836,836
imdb_lp_ml,IMDb1--4,20241017,v3,v4,IMDb3 vs IMDb4,0.5518005540166205,0.011961722488038277,0.11291866028708133,836,836,836,836
imdb_lp_ml,IMDb1--4,20251017,v1,v2,IMDb1 vs IMDb2,0.44140015109544195,-0.5502392344497608,-0.24585326953748007,836,836,836,836
imdb_lp_ml,IMDb1--4,20251017,v1,v3,IMDb1 vs IMDb3,0.597280282044825,-0.3875598086124402,-0.13444976076555024,836,836,836,836
imdb_lp_ml,IMDb1--4,20251017,v1,v4,IMDb1 vs IMDb4,0.7108285066733819,-0.10287081339712918,0.069377990430622,836,836,836,836
imdb_lp_ml,IMDb1--4,20251017,v2,v3,IMDb2 vs IMDb3,0.6440946864769579,-0.11004784688995216,0.042822966507177034,836,836,836,836
imdb_lp_ml,IMDb1--4,20251017,v2,v4,IMDb2 vs IMDb4,0.5937799043062201,-0.19617224880382775,-0.003827751196172254,836,836,836,836
imdb_lp_ml,IMDb1--4,20251017,v3,v4,IMDb3 vs IMDb4,0.5223117602618987,-0.47129186602870815,-0.20741626794258375,836,836,836,836
imdb_lp_ml,IMDb1--4,1566911444,v1,v2,IMDb1 vs IMDb2,0.6995359025434045,0.17266187050359713,0.1685352214294382,836,836,834,836
imdb_lp_ml,IMDb1--4,1566911444,v1,v3,IMDb1 vs IMDb3,0.7502291314971481,0.38609112709832133,0.34006632190790703,836,836,834,836
imdb_lp_ml,IMDb1--4,1566911444,v1,v4,IMDb1 vs IMDb4,0.8735681162439174,0.5731414868105515,0.4893141945773525,836,836,834,836
imdb_lp_ml,IMDb1--4,1566911444,v2,v3,IMDb2 vs IMDb3,0.8388693024427096,0.4665071770334928,0.422408293460925,836,836,836,836
imdb_lp_ml,IMDb1--4,1566911444,v2,v4,IMDb2 vs IMDb4,0.736762238037805,0.34532374100719426,0.31662134583135204,836,836,834,836
imdb_lp_ml,IMDb1--4,1566911444,v3,v4,IMDb3 vs IMDb4,0.7072974341999382,0.24700239808153476,0.23073617836723723,836,836,834,836
