super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,validation_check,validation_checks_cumulative,mean_val_filtered_MRR,best_mean_val_filtered_MRR,cycle_seconds,batches_no_changes,train_loss_no_changes,batches_all_inverse_edges,train_loss_all_inverse_edges,batches_universal_edges,train_loss_universal_edges,val_raw_MRR_no_changes,val_filtered_MRR_no_changes,val_Hits@1_no_changes,val_Hits@3_no_changes,val_Hits@10_no_changes,val_accuracy_no_changes,val_precision_no_changes,val_recall_no_changes,val_macro_f1_no_changes,val_raw_MRR_all_inverse_edges,val_filtered_MRR_all_inverse_edges,val_Hits@1_all_inverse_edges,val_Hits@3_all_inverse_edges,val_Hits@10_all_inverse_edges,val_accuracy_all_inverse_edges,val_precision_all_inverse_edges,val_recall_all_inverse_edges,val_macro_f1_all_inverse_edges,val_raw_MRR_universal_edges,val_filtered_MRR_universal_edges,val_Hits@1_universal_edges,val_Hits@3_universal_edges,val_Hits@10_universal_edges,val_accuracy_universal_edges,val_precision_universal_edges,val_recall_universal_edges,val_macro_f1_universal_edges
1,"all_inverse_edges,no_changes,universal_edges",3,3,3,0.6931447585423788,0,0,,,4.748536583967507,1,0.6931420564651489,1,0.6931471824645996,1,0.6931450366973877,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,"all_inverse_edges,no_changes,universal_edges",6,6,3,0.6931433280309042,0,0,,,4.678942626807839,1,0.6931405663490295,1,0.6931365728378296,1,0.6931528449058533,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"no_changes,all_inverse_edges,universal_edges",9,9,3,0.6931810180346171,0,0,,,4.674950184067711,1,0.6931877136230469,1,0.6931917667388916,1,0.6931635737419128,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,"universal_edges,all_inverse_edges,no_changes",12,12,3,0.6931603749593099,0,0,,,4.682502602925524,1,0.6931780576705933,1,0.6931467056274414,1,0.693156361579895,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,"universal_edges,all_inverse_edges,no_changes",15,15,3,0.6931366920471191,0,0,,,4.685775296995416,1,0.6931247115135193,1,0.6931456327438354,1,0.6931397318840027,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"no_changes,universal_edges,all_inverse_edges",18,18,3,0.6930922269821167,0,0,,,4.671559619950131,1,0.6930937170982361,1,0.6930446624755859,1,0.6931383013725281,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,"all_inverse_edges,universal_edges,no_changes",21,21,3,0.6929370562235514,0,0,,,4.6791038969531655,1,0.6925707459449768,1,0.6931396722793579,1,0.6931007504463196,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"universal_edges,no_changes,all_inverse_edges",24,24,3,0.6899189750353495,0,0,,,4.704859225079417,1,0.6899121999740601,1,0.6870045065879822,1,0.6928402185440063,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,"universal_edges,all_inverse_edges,no_changes",27,27,3,0.6632726192474365,0,0,,,4.681328953010961,1,0.6496232748031616,1,0.6522437334060669,1,0.687950849533081,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"universal_edges,all_inverse_edges,no_changes",30,30,3,0.6192270318667094,1,1,0.004641334836681684,0.004641334836681684,20.28418186493218,1,0.5965126156806946,1,0.6105302572250366,1,0.650638222694397,0.004253883846104145,0.00425999891012907,0.0011535926170072512,0.003131179960448253,0.011865524060646011,0.5649889487766102,0.5136086793120325,0.6749439683586025,0.39143052339756007,0.004521137103438377,0.004526393488049507,0.0011535926170072512,0.0032959789057350032,0.011865524060646011,0.5828066229787894,0.513628529869784,0.6735332893869479,0.3993183917821973,0.0051336875185370445,0.005137612111866474,0.0013183915622940012,0.0042847725774555045,0.013678312458800263,0.5880672638204919,0.5141487327013942,0.6796077785102176,0.4021238539570212
11,"universal_edges,no_changes,all_inverse_edges",33,33,3,0.5834697484970093,0,1,,0.004641334836681684,4.677694829879329,1,0.5721205472946167,1,0.5686166286468506,1,0.6096720695495605,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"no_changes,universal_edges,all_inverse_edges",36,36,3,0.5898774663607279,0,1,,0.004641334836681684,4.685491832904518,1,0.5611752271652222,1,0.5243020057678223,1,0.6841551661491394,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,"universal_edges,no_changes,all_inverse_edges",39,39,3,0.5642090141773224,0,1,,0.004641334836681684,4.684326566988602,1,0.5289708971977234,1,0.49723920226097107,1,0.6664169430732727,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,"no_changes,universal_edges,all_inverse_edges",42,42,3,0.5908581813176473,0,1,,0.004641334836681684,4.688574272906408,1,0.4968412518501282,1,0.6367848515510559,1,0.6389484405517578,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,"no_changes,universal_edges,all_inverse_edges",45,45,3,0.6012609998385111,0,1,,0.004641334836681684,4.683711325051263,1,0.5337005257606506,1,0.5055451393127441,1,0.7645373344421387,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,"all_inverse_edges,universal_edges,no_changes",48,48,3,0.5284228920936584,0,1,,0.004641334836681684,4.680541589856148,1,0.5387372374534607,1,0.4809138774871826,1,0.565617561340332,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,"no_changes,universal_edges,all_inverse_edges",51,51,3,0.5518219868342081,0,1,,0.004641334836681684,4.683352803112939,1,0.4980478286743164,1,0.5015454292297363,1,0.6558727025985718,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,"all_inverse_edges,universal_edges,no_changes",54,54,3,0.5113882422447205,0,1,,0.004641334836681684,4.680150833912194,1,0.4852374494075775,1,0.4849275052547455,1,0.5639997720718384,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,"universal_edges,no_changes,all_inverse_edges",57,57,3,0.4958474536736806,0,1,,0.004641334836681684,4.686810221057385,1,0.4739021062850952,1,0.4759909212589264,1,0.5376493334770203,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,"no_changes,universal_edges,all_inverse_edges",60,60,3,0.533033013343811,1,2,0.0035520795111854873,0.004641334836681684,20.23955095303245,1,0.6556454300880432,1,0.4256150722503662,1,0.5178385376930237,0.002976024057716131,0.0029851077124476433,0.0008239947264337508,0.0014831905075807514,0.003955174686882004,0.7588054338413018,0.5243212531871428,0.7369676994067238,0.482345216824706,0.004496502224355936,0.004509998485445976,0.0013183915622940012,0.0023071852340145024,0.0077455504284772575,0.7638463427559554,0.5258931622592525,0.749390243902439,0.48629153464672653,0.0031435403507202864,0.003161132335662842,0.0008239947264337508,0.0016479894528675016,0.005273566249176005,0.7535641811108095,0.5248045919809687,0.7455998681608438,0.4810591756958391
21,"all_inverse_edges,universal_edges,no_changes",63,63,3,0.44288602471351624,0,2,,0.004641334836681684,4.692234442802146,1,0.42216232419013977,1,0.4154788553714752,1,0.4910168945789337,,,,,,,,,,,,,,,,,,,,,,,,,,,
