dataset,variant,split,metric,mean,std,ddof,values
Freebase NC,unchanged,train,accuracy,0.8237636211232188,0.0,1,[0.8237636211232188]
Freebase NC,unchanged,train,balanced_accuracy,0.6373430019976288,0.0,1,[0.6373430019976288]
Freebase NC,unchanged,train,hit_at_1,0.8237636211232188,0.0,1,[0.8237636211232188]
Freebase NC,unchanged,train,hit_at_3,0.9694048616932104,0.0,1,[0.9694048616932104]
Freebase NC,unchanged,train,loss,0.6663400799206337,0.0,1,[0.6663400799206337]
Freebase NC,unchanged,train,macro_f1,0.5812215418712112,0.0,1,[0.5812215418712112]
Freebase NC,unchanged,train,macro_precision,0.7786609640723856,0.0,1,[0.7786609640723856]
Freebase NC,unchanged,train,macro_recall,0.5576751267479252,0.0,1,[0.5576751267479252]
Freebase NC,unchanged,train,micro_f1,0.8237636211232188,0.0,1,[0.8237636211232188]
Freebase NC,unchanged,train,micro_precision,0.8237636211232188,0.0,1,[0.8237636211232188]
Freebase NC,unchanged,train,micro_recall,0.8237636211232188,0.0,1,[0.8237636211232188]
Freebase NC,unchanged,train,mrr,0.8992171596216024,0.0,1,[0.8992171596216024]
Freebase NC,unchanged,train,weighted_f1,0.7987273584819152,0.0,1,[0.7987273584819152]
Freebase NC,unchanged,val,accuracy,0.6398491514770585,0.0,1,[0.6398491514770585]
Freebase NC,unchanged,val,balanced_accuracy,0.39811659021168994,0.0,1,[0.39811659021168994]
Freebase NC,unchanged,val,hit_at_1,0.6398491514770585,0.0,1,[0.6398491514770585]
Freebase NC,unchanged,val,hit_at_3,0.8818353236957888,0.0,1,[0.8818353236957888]
Freebase NC,unchanged,val,loss,1.1203458679694747,0.0,1,[1.1203458679694747]
Freebase NC,unchanged,val,macro_f1,0.370589113604409,0.0,1,[0.370589113604409]
Freebase NC,unchanged,val,macro_precision,0.4637014055383263,0.0,1,[0.4637014055383263]
Freebase NC,unchanged,val,macro_recall,0.3483520164352286,0.0,1,[0.3483520164352286]
Freebase NC,unchanged,val,micro_f1,0.6398491514770585,0.0,1,[0.6398491514770585]
Freebase NC,unchanged,val,micro_precision,0.6398491514770585,0.0,1,[0.6398491514770585]
Freebase NC,unchanged,val,micro_recall,0.6398491514770585,0.0,1,[0.6398491514770585]
Freebase NC,unchanged,val,mrr,0.7737863278560952,0.0,1,[0.7737863278560952]
Freebase NC,unchanged,val,weighted_f1,0.6057562237070564,0.0,1,[0.6057562237070564]
Freebase NC,unchanged,test,accuracy,0.6285355122564424,0.0,1,[0.6285355122564424]
Freebase NC,unchanged,test,balanced_accuracy,0.4082685414271508,0.0,1,[0.4082685414271508]
Freebase NC,unchanged,test,hit_at_1,0.6285355122564424,0.0,1,[0.6285355122564424]
Freebase NC,unchanged,test,hit_at_3,0.8749214330609679,0.0,1,[0.8749214330609679]
Freebase NC,unchanged,test,loss,1.152957517502166,0.0,1,[1.152957517502166]
Freebase NC,unchanged,test,macro_f1,0.37893393062010816,0.0,1,[0.37893393062010816]
Freebase NC,unchanged,test,macro_precision,0.48150892224872005,0.0,1,[0.48150892224872005]
Freebase NC,unchanged,test,macro_recall,0.35723497374875696,0.0,1,[0.35723497374875696]
Freebase NC,unchanged,test,micro_f1,0.6285355122564424,0.0,1,[0.6285355122564424]
Freebase NC,unchanged,test,micro_precision,0.6285355122564424,0.0,1,[0.6285355122564424]
Freebase NC,unchanged,test,micro_recall,0.6285355122564424,0.0,1,[0.6285355122564424]
Freebase NC,unchanged,test,mrr,0.7661892789799766,0.0,1,[0.7661892789799766]
Freebase NC,unchanged,test,weighted_f1,0.599279762869096,0.0,1,[0.599279762869096]
Freebase NC,exact_2,train,accuracy,0.8170578373847444,0.0,1,[0.8170578373847444]
Freebase NC,exact_2,train,balanced_accuracy,0.6290908685174302,0.0,1,[0.6290908685174302]
Freebase NC,exact_2,train,hit_at_1,0.8170578373847444,0.0,1,[0.8170578373847444]
Freebase NC,exact_2,train,hit_at_3,0.9660519698239731,0.0,1,[0.9660519698239731]
Freebase NC,exact_2,train,loss,0.6766805929875103,0.0,1,[0.6766805929875103]
Freebase NC,exact_2,train,macro_f1,0.5757051963942293,0.0,1,[0.5757051963942293]
Freebase NC,exact_2,train,macro_precision,0.7780964314682577,0.0,1,[0.7780964314682577]
Freebase NC,exact_2,train,macro_recall,0.5504545099527515,0.0,1,[0.5504545099527515]
Freebase NC,exact_2,train,micro_f1,0.8170578373847444,0.0,1,[0.8170578373847444]
Freebase NC,exact_2,train,micro_precision,0.8170578373847444,0.0,1,[0.8170578373847444]
Freebase NC,exact_2,train,micro_recall,0.8170578373847444,0.0,1,[0.8170578373847444]
Freebase NC,exact_2,train,mrr,0.8948693769209278,0.0,1,[0.8948693769209278]
Freebase NC,exact_2,train,weighted_f1,0.7943745309529695,0.0,1,[0.7943745309529695]
Freebase NC,exact_2,val,accuracy,0.6385920804525456,0.0,1,[0.6385920804525456]
Freebase NC,exact_2,val,balanced_accuracy,0.3977591653006936,0.0,1,[0.3977591653006936]
Freebase NC,exact_2,val,hit_at_1,0.6385920804525456,0.0,1,[0.6385920804525456]
Freebase NC,exact_2,val,hit_at_3,0.8705216844751729,0.0,1,[0.8705216844751729]
Freebase NC,exact_2,val,loss,1.1312099775830087,0.0,1,[1.1312099775830087]
Freebase NC,exact_2,val,macro_f1,0.3689596804557403,0.0,1,[0.3689596804557403]
Freebase NC,exact_2,val,macro_precision,0.4584303071958,0.0,1,[0.4584303071958]
Freebase NC,exact_2,val,macro_recall,0.3480392696381069,0.0,1,[0.3480392696381069]
Freebase NC,exact_2,val,micro_f1,0.6385920804525456,0.0,1,[0.6385920804525456]
Freebase NC,exact_2,val,micro_precision,0.6385920804525456,0.0,1,[0.6385920804525456]
Freebase NC,exact_2,val,micro_recall,0.6385920804525456,0.0,1,[0.6385920804525456]
Freebase NC,exact_2,val,mrr,0.769357397264374,0.0,1,[0.769357397264374]
Freebase NC,exact_2,val,weighted_f1,0.6066585116052494,0.0,1,[0.6066585116052494]
Freebase NC,exact_2,test,accuracy,0.6253928346951603,0.0,1,[0.6253928346951603]
Freebase NC,exact_2,test,balanced_accuracy,0.39936656288581274,0.0,1,[0.39936656288581274]
Freebase NC,exact_2,test,hit_at_1,0.6253928346951603,0.0,1,[0.6253928346951603]
Freebase NC,exact_2,test,hit_at_3,0.8642363293526084,0.0,1,[0.8642363293526084]
Freebase NC,exact_2,test,loss,1.1671458619673651,0.0,1,[1.1671458619673651]
Freebase NC,exact_2,test,macro_f1,0.37109258262753103,0.0,1,[0.37109258262753103]
Freebase NC,exact_2,test,macro_precision,0.4701373149686625,0.0,1,[0.4701373149686625]
Freebase NC,exact_2,test,macro_recall,0.34944574252508614,0.0,1,[0.34944574252508614]
Freebase NC,exact_2,test,micro_f1,0.6253928346951603,0.0,1,[0.6253928346951603]
Freebase NC,exact_2,test,micro_precision,0.6253928346951603,0.0,1,[0.6253928346951603]
Freebase NC,exact_2,test,micro_recall,0.6253928346951603,0.0,1,[0.6253928346951603]
Freebase NC,exact_2,test,mrr,0.7616615785220437,0.0,1,[0.7616615785220437]
Freebase NC,exact_2,test,weighted_f1,0.597223713192378,0.0,1,[0.597223713192378]
