dataset,scope,metric,mean,std,ddof,values
Freebase NC,one shared model/checkpoint per seed,training_seconds,990.6043169300538,0.0,1,[990.6043169300538]
Freebase NC,one shared model/checkpoint per seed,inference_seconds,13.61128744785674,0.0,1,[13.61128744785674]
Freebase NC,one shared model/checkpoint per seed,best_super_epoch,18.0,0.0,1,[18.0]
Freebase NC,one shared model/checkpoint per seed,best_mean_val_loss,1.1257779227762417,0.0,1,[1.1257779227762417]
Freebase NC,one shared model/checkpoint per seed,epoch_accounting.super_epochs_ran,68.0,0.0,1,[68.0]
Freebase NC,one shared model/checkpoint per seed,epoch_accounting.variant_epochs_ran,136.0,0.0,1,[136.0]
Freebase NC,one shared model/checkpoint per seed,epoch_accounting.optimizer_steps,136.0,0.0,1,[136.0]
Freebase NC,one shared model/checkpoint per seed,epoch_accounting.updates_per_super_epoch,2.0,0.0,1,[2.0]
Freebase NC,one shared model/checkpoint per seed,memory.parameter_count,151030543.0,0.0,1,[151030543.0]
Freebase NC,one shared model/checkpoint per seed,memory.trainable_parameter_count,151030543.0,0.0,1,[151030543.0]
Freebase NC,one shared model/checkpoint per seed,memory.parameter_mib,576.135799407959,0.0,1,[576.135799407959]
Freebase NC,one shared model/checkpoint per seed,memory.buffer_mib,0.01174163818359375,0.0,1,[0.01174163818359375]
Freebase NC,one shared model/checkpoint per seed,memory.static_model_mib,576.1475410461426,0.0,1,[576.1475410461426]
Freebase NC,one shared model/checkpoint per seed,memory.checkpoint_mib,576.1748027801514,0.0,1,[576.1748027801514]
Freebase NC,one shared model/checkpoint per seed,memory.process_peak_rss_mib,43832.21875,0.0,1,[43832.21875]
Freebase NC,one shared model/checkpoint per seed,memory.training_gpu.peak_allocated_mib,19036.009765625,0.0,1,[19036.009765625]
Freebase NC,one shared model/checkpoint per seed,memory.training_gpu.peak_reserved_mib,20012.0,0.0,1,[20012.0]
Freebase NC,one shared model/checkpoint per seed,memory.inference_gpu.peak_allocated_mib,9880.12109375,0.0,1,[9880.12109375]
Freebase NC,one shared model/checkpoint per seed,memory.inference_gpu.peak_reserved_mib,10650.0,0.0,1,[10650.0]
