super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_loss,bad_super_epochs,cycle_seconds,train_loss_v1,updates_v1,val_loss_v1,val_accuracy_v1,val_macro_f1_v1,train_loss_v2,updates_v2,val_loss_v2,val_accuracy_v2,val_macro_f1_v2,train_loss_v3,updates_v3,val_loss_v3,val_accuracy_v3,val_macro_f1_v3,train_loss_v4,updates_v4,val_loss_v4,val_accuracy_v4,val_macro_f1_v4
1,"v1,v3,v4,v2",4,4,4,0.9957175254821777,1.2573168305761981,0.3864913843500151,1.2573168305761981,0,6.001189352944493,1.575889229774475,1,1.2120546511518262,0.5167464114832536,0.4091357107078802,0.4732058048248291,1,1.5195387046086146,0.3062200956937799,0.16008169934640523,1.0296261310577393,1,1.128085732380158,0.5263157894736842,0.5037290179138241,0.9041489362716675,1,1.169588234164194,0.4904306220095694,0.4730191094319512
2,"v2,v3,v4,v1",8,8,4,0.27135420963168144,1.296443299423347,0.3797570025930515,1.2573168305761981,1,3.7019028670620173,0.2951592206954956,1,1.1127251351629295,0.5430622009569378,0.4712555274194168,0.294259250164032,1,1.600786704693074,0.3038277511961722,0.15535168195718654,0.2684301435947418,1,1.1693835173705178,0.5311004784688995,0.531670528709168,0.22756822407245636,1,1.3028778404668666,0.41866028708133973,0.36075027228643486
3,"v2,v4,v1,v3",12,12,4,0.2233041226863861,1.3453997564452047,0.3781838746797791,1.2573168305761981,2,3.734645213931799,0.227179154753685,1,1.056378569100078,0.5574162679425837,0.5506909272061825,0.22382080554962158,1,1.6808056358599017,0.3038277511961722,0.15535168195718654,0.22001320123672485,1,1.2169027660571419,0.5215311004784688,0.516972703450019,0.222203329205513,1,1.4275120547636972,0.37799043062200954,0.2897201861057283
4,"v1,v3,v4,v2",16,16,4,0.22335846349596977,1.4162607434788608,0.3164463151645515,1.2573168305761981,3,3.7214654479175806,0.22103208303451538,1,1.1761590480319786,0.5023923444976076,0.48835195094057077,0.22862830758094788,1,1.692550282966824,0.3038277511961722,0.15535168195718654,0.22090671956539154,1,1.2722025043877463,0.4784688995215311,0.4629704841262359,0.2228667438030243,1,1.5241311385288947,0.3038277511961722,0.15911114363421267
5,"v4,v2,v1,v3",20,20,4,0.22016599401831627,1.464899122018615,0.26052290888120044,1.2573168305761981,4,3.74422455416061,0.21826301515102386,1,1.2799671993677675,0.4019138755980861,0.34509114014642833,0.22398340702056885,1,1.6922625919377197,0.3038277511961722,0.15535168195718654,0.21751421689987183,1,1.3155463176873439,0.4354066985645933,0.3862971314640003,0.22090333700180054,1,1.5718203790816283,0.3038277511961722,0.15535168195718654
6,"v1,v2,v3,v4",24,24,4,0.21797003224492073,1.469771033284474,0.25076097193963753,1.2573168305761981,5,3.7615079800598323,0.21979637444019318,1,1.296982244867976,0.3923444976076555,0.3269414575866189,0.21756799519062042,1,1.689380845824859,0.3038277511961722,0.15535168195718654,0.2174428552389145,1,1.317664265672421,0.41866028708133973,0.36539906625755814,0.21707290410995483,1,1.5750567767726402,0.3038277511961722,0.15535168195718654
7,"v3,v1,v2,v4",28,28,4,0.2181459628045559,1.4509665993726601,0.2826130962962739,1.2573168305761981,6,3.7051354499999434,0.2208867073059082,1,1.2654562348548266,0.4258373205741627,0.37910715794396016,0.21685515344142914,1,1.6839753021707142,0.3038277511961722,0.15535168195718654,0.21765747666358948,1,1.2904180543464325,0.4665071770334928,0.4406418633267623,0.21718451380729675,1,1.564016806118667,0.3038277511961722,0.15535168195718654
8,"v4,v2,v1,v3",32,32,4,0.21696880087256432,1.425657368738658,0.30792927880762294,1.2573168305761981,7,3.9333904411178082,0.21771156787872314,1,1.2163809503522631,0.47368421052631576,0.449366347479555,0.21666091680526733,1,1.6786343209038381,0.3038277511961722,0.15535168195718654,0.216444730758667,1,1.2595243765809374,0.48325358851674644,0.4716474038365636,0.2170579880475998,1,1.5480898271175927,0.3038277511961722,0.15535168195718654
9,"v1,v2,v3,v4",36,36,4,0.21665244549512863,1.3958231663281753,0.33414078703136163,1.2573168305761981,8,3.6883466010913253,0.21695615351200104,1,1.16210507770195,0.5215311004784688,0.5136483577039418,0.21666660904884338,1,1.6716330661995231,0.3038277511961722,0.15535168195718654,0.21644525229930878,1,1.2295331406665004,0.49760765550239233,0.4902135762760764,0.21654176712036133,1,1.5200213807447267,0.3133971291866029,0.17734953218824187
10,"v3,v4,v1,v2",40,40,4,0.2166314497590065,1.3782089223024085,0.3446999509725644,1.2573168305761981,9,3.8823365450371057,0.21651479601860046,1,1.135745257095483,0.5311004784688995,0.528184748062353,0.21677784621715546,1,1.6627460729048666,0.3038277511961722,0.15535168195718654,0.21658694744110107,1,1.2132107417276174,0.5143540669856459,0.5102548720758947,0.216646209359169,1,1.501133617481667,0.3157894736842105,0.18500850179482334
