super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,mean_val_macro_f1,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,val_macro_f1_v1,val_accuracy_v1,train_loss_v2,val_loss_v2,val_macro_f1_v2,val_accuracy_v2,train_loss_v3,val_loss_v3,val_macro_f1_v3,val_accuracy_v3,train_loss_v4,val_loss_v4,val_macro_f1_v4,val_accuracy_v4
1,"v1,v3,v4,v2",4,4,4,4,1.0701269656419754,0.9213052093982697,0.591262345806935,0.9213052093982697,1.8678130300249904,1.2024694681167603,0.9171575307846069,0.5971438384107225,0.5933014354066986,0.9418759942054749,0.9282990097999573,0.5870833442454861,0.583732057416268,1.1102675199508667,0.9105311036109924,0.5934462659067858,0.5885167464114832,1.0258948802947998,0.929233193397522,0.5873759346647455,0.5861244019138756
2,"v1,v4,v3,v2",8,8,8,8,0.7314685881137848,0.8542795181274414,0.6494579970112756,0.8542795181274414,0.2558773059863597,0.8215980529785156,0.8518294095993042,0.6456806367477489,0.65311004784689,0.6562455892562866,0.8584499359130859,0.6463088965432909,0.6483253588516746,0.7035888433456421,0.8444854021072388,0.6606229341831075,0.6626794258373205,0.7444418668746948,0.8623533248901367,0.6452195205709551,0.6507177033492823
3,"v1,v3,v4,v2",12,12,12,12,0.5567066520452499,0.8332048058509827,0.6450030663671935,0.8332048058509827,0.2392632041592151,0.6021823883056641,0.8314531445503235,0.6562912168821308,0.6555023923444976,0.522398054599762,0.8427658677101135,0.6380196840554897,0.6411483253588517,0.5649582147598267,0.8321815133094788,0.6410122998214495,0.645933014354067,0.5372879505157471,0.8264186978340149,0.6446890647097046,0.645933014354067
4,"v2,v4,v3,v1",16,16,16,16,0.49937137961387634,0.8473517596721649,0.6434297810597228,0.8332048058509827,0.2331975530833006,0.488604336977005,0.8478829264640808,0.6353252765711109,0.6363636363636364,0.5093162655830383,0.8557336926460266,0.6349109468369217,0.6411483253588517,0.49859121441841125,0.8484000563621521,0.6395304239864932,0.645933014354067,0.5009737014770508,0.8373903632164001,0.6639524768443655,0.6650717703349283
5,"v1,v2,v3,v4",20,20,20,20,0.4817366674542427,0.8383267968893051,0.6566693665692234,0.8332048058509827,0.22048135986551642,0.4825602173805237,0.8507770299911499,0.6335380768687888,0.6339712918660287,0.482101708650589,0.8384831547737122,0.650593017259684,0.6507177033492823,0.48208141326904297,0.8331331610679626,0.6762998625252875,0.6770334928229665,0.4802033305168152,0.8309138417243958,0.666246509623133,0.6650717703349283
6,"v1,v3,v4,v2",24,24,24,24,0.4765007123351097,0.8619160354137421,0.6170892334791486,0.8332048058509827,0.2243522391654551,0.4771847426891327,0.863582193851471,0.614740908138356,0.6267942583732058,0.47689947485923767,0.8718410134315491,0.6043356983046505,0.6196172248803827,0.476605087518692,0.8593876957893372,0.622019548428029,0.6339712918660287,0.47531354427337646,0.8528532385826111,0.6272607790455588,0.6339712918660287
7,"v2,v3,v1,v4",28,28,28,28,0.4766564816236496,0.8422551453113556,0.6578283384468638,0.8332048058509827,0.2090327008627355,0.47865718603134155,0.8478946089744568,0.647274822405465,0.6483253588516746,0.4764443635940552,0.8573758006095886,0.6428247298726918,0.6435406698564593,0.47545790672302246,0.8358235955238342,0.6670317919756571,0.6674641148325359,0.4760664701461792,0.8279265761375427,0.6741820095336416,0.6746411483253588
8,"v1,v4,v3,v2",32,32,32,32,0.47649674117565155,0.8601139485836029,0.6365129076739389,0.8332048058509827,0.20687456103041768,0.4778097867965698,0.8580846190452576,0.6238347028700727,0.6244019138755981,0.475484699010849,0.8705334663391113,0.6264863474165799,0.6267942583732058,0.4757271111011505,0.8530757427215576,0.6599034445819671,0.6626794258373205,0.47696536779403687,0.8587619662284851,0.6358271358271358,0.638755980861244
9,"v2,v4,v3,v1",36,36,36,36,0.475685678422451,0.8627404123544693,0.62917934684731,0.8332048058509827,0.22513320692814887,0.47608113288879395,0.8633771538734436,0.6177931340040032,0.6172248803827751,0.47452786564826965,0.8770418167114258,0.6190450171944833,0.6196172248803827,0.47545069456100464,0.8521319031715393,0.6390633982097397,0.638755980861244,0.47668302059173584,0.8584107756614685,0.6408158379810139,0.6411483253588517
10,"v3,v1,v2,v4",40,40,40,40,0.47661177068948746,0.8670495301485062,0.6297027162687652,0.8332048058509827,0.21885676099918783,0.47650134563446045,0.8647857308387756,0.6242019770346786,0.6244019138755981,0.47910889983177185,0.8793361186981201,0.6184093378189283,0.6172248803827751,0.4745289087295532,0.858873724937439,0.6460522538041918,0.645933014354067,0.4763079285621643,0.8652025461196899,0.630147296417262,0.631578947368421
