super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,batches_per_variant,train_graph_forwards_cumulative,validation_graph_forwards_cumulative,mean_train_loss,mean_val_loss,best_mean_val_loss,cycle_seconds,train_loss_v1,val_loss_v1,train_loss_v3,val_loss_v3
1,"v1,v3",2,2,1,2,2,1.3862946033477783,0.6931471824645996,0.6931471824645996,1.5174951169174165,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
2,"v3,v1",4,4,1,4,4,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.09765687701292336,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
3,"v3,v1",6,6,1,6,6,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08858050382696092,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
4,"v3,v1",8,8,1,8,8,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08231522981077433,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
5,"v3,v1",10,10,1,10,10,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.10471380408853292,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
6,"v3,v1",12,12,1,12,12,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08298448589630425,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
7,"v1,v3",14,14,1,14,14,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08546915999613702,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
8,"v1,v3",16,16,1,16,16,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08656398300081491,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
9,"v3,v1",18,18,1,18,18,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.0903208889067173,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
10,"v3,v1",20,20,1,20,20,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08468067809008062,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
11,"v1,v3",22,22,1,22,22,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08184373215772212,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
12,"v1,v3",24,24,1,24,24,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08725278219208121,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
13,"v3,v1",26,26,1,26,26,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08318935101851821,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
14,"v3,v1",28,28,1,28,28,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08263357286341488,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
15,"v1,v3",30,30,1,30,30,1.3862946033477783,0.6931471824645996,0.6931471824645996,0.08528741518966854,1.3862946033477783,0.6931471824645996,1.3862946033477783,0.6931471824645996
