super_epoch,variant_order,variant_epochs_cumulative,optimizer_steps_cumulative,updates_per_super_epoch,mean_train_loss,validation_check,validation_checks_cumulative,mean_val_filtered_MRR,best_mean_val_filtered_MRR,cycle_seconds,batches_no_changes,train_loss_no_changes,val_raw_MRR_no_changes,val_filtered_MRR_no_changes,val_Hits@1_no_changes,val_Hits@3_no_changes,val_Hits@10_no_changes,val_accuracy_no_changes,val_precision_no_changes,val_recall_no_changes,val_macro_f1_no_changes,batches_universal_edges,train_loss_universal_edges,val_raw_MRR_universal_edges,val_filtered_MRR_universal_edges,val_Hits@1_universal_edges,val_Hits@3_universal_edges,val_Hits@10_universal_edges,val_accuracy_universal_edges,val_precision_universal_edges,val_recall_universal_edges,val_macro_f1_universal_edges,batches_all_inverse_edges,train_loss_all_inverse_edges,val_raw_MRR_all_inverse_edges,val_filtered_MRR_all_inverse_edges,val_Hits@1_all_inverse_edges,val_Hits@3_all_inverse_edges,val_Hits@10_all_inverse_edges,val_accuracy_all_inverse_edges,val_precision_all_inverse_edges,val_recall_all_inverse_edges,val_macro_f1_all_inverse_edges
1,"no_changes,universal_edges,all_inverse_edges",3,3,3,0.6931471824645996,1,1,0.0003838850194976355,0.0003838850194976355,10.39674191083759,1,0.6931471824645996,0.00021593269775621593,0.0002161163865821436,0.0,0.00016479894528675015,0.00016479894528675015,0.49768635206224876,0.4985432259110472,0.4810547132498352,0.3477119247129244,1,0.6931471824645996,0.00048282055649906397,0.0004828894743695855,0.00016479894528675015,0.0003295978905735003,0.0003295978905735003,0.5004330011503613,0.4989986521530163,0.486977587343441,0.3493415172119729,1,0.6931471824645996,0.00045188114745542407,0.00045264919754117727,0.0,0.0003295978905735003,0.0008239947264337508,0.49925678907027543,0.4987538372899949,0.483793671720501,0.3486014251597656
2,"universal_edges,no_changes,all_inverse_edges",6,6,3,0.6931471824645996,1,2,0.0003148500545648858,0.0003838850194976355,9.182213329011574,1,0.6931471824645996,0.00021117881988175213,0.00021128372463863343,0.0,0.0,0.00016479894528675015,0.4986492949190223,0.49949996257038054,0.49349703361898484,0.3489571310697322,1,0.6931471824645996,0.0003090934478677809,0.00030925447936169803,0.0,0.0,0.0004943968358602505,0.4996510139982163,0.49972552516410723,0.49643045484508896,0.34960306209006314,1,0.6931471824645996,0.0004231900384183973,0.0004240119596943259,0.0,0.00016479894528675015,0.0006591957811470006,0.49940543125622033,0.4989459447281996,0.4862920237310481,0.34883164499952235
3,"universal_edges,no_changes,all_inverse_edges",9,9,3,0.6931471824645996,1,3,0.0005879333475604653,0.0005879333475604653,9.131190255051479,1,0.6931471824645996,0.0002352809242438525,0.00023534760111942887,0.0,0.0,0.0003295978905735003,0.5008401514857755,0.5012002894940726,0.515609756097561,0.3513895097274004,1,0.6931471824645996,0.0006011881632730365,0.0006012477679178119,0.00016479894528675015,0.0003295978905735003,0.000988793671720501,0.49783499424819366,0.5014053988924998,0.5182762030323006,0.3501836552361697,1,0.6931471824645996,0.000927129527553916,0.0009272046736441553,0.0003295978905735003,0.000988793671720501,0.0013183915622940012,0.49850711543681414,0.5007735141499157,0.5100593276203033,0.3499634998873508
4,"all_inverse_edges,no_changes,universal_edges",12,12,3,0.6931471824645996,1,4,0.0007639824373958012,0.0007639824373958012,9.160523115191609,1,0.6931471824645996,0.0005274663562886417,0.0005278631579130888,0.00016479894528675015,0.0003295978905735003,0.0008239947264337508,0.5001615675934183,0.5010991707010135,0.5142946605141727,0.3509940558046524,1,0.6931471824645996,0.0007882280042394996,0.0007884603110142052,0.00016479894528675015,0.0004943968358602505,0.0013183915622940012,0.5015510488968165,0.5016752342962566,0.5217864205669084,0.35211471738973116,1,0.6931471824645996,0.0009755266364663839,0.0009756238432601094,0.0004943968358602505,0.0006591957811470006,0.000988793671720501,0.5008853904119327,0.5015001100413126,0.5195088991430454,0.35166253832209815
5,"no_changes,universal_edges,all_inverse_edges",15,15,3,0.6931471824645996,1,5,0.0005573550297413021,0.0007639824373958012,9.286665761144832,1,0.6931471824645996,0.0004744550969917327,0.00047462907969020307,0.00016479894528675015,0.00016479894528675015,0.0006591957811470006,0.5015251980818696,0.5023199902721119,0.5301713909030983,0.3526448207961323,1,0.6931471824645996,0.0006722147227264941,0.0006734750350005925,0.00016479894528675015,0.0003295978905735003,0.000988793671720501,0.502320110641488,0.5019289282649384,0.5250856954515492,0.3526805955004641,1,0.6931471824645996,0.0005238293088041246,0.0005239609745331109,0.0,0.0003295978905735003,0.000988793671720501,0.5002778962606796,0.5023207862076176,0.5301812788398155,0.35207193361702394
6,"all_inverse_edges,no_changes,universal_edges",18,18,3,0.6931471824645996,1,6,0.0006720001595870903,0.0007639824373958012,9.264093307079747,1,0.6931471824645996,0.0005776283796876669,0.000577698927372694,0.0,0.0003295978905735003,0.0014831905075807514,0.49890780306849175,0.5008388978445519,0.5109096901779828,0.3502017430172831,1,0.6931471824645996,0.0004844769136980176,0.00048464248538948596,0.0,0.0003295978905735003,0.0008239947264337508,0.4997996561841612,0.5012961014749698,0.5168556361239288,0.3509938205941198,1,0.6931471824645996,0.0009535488788969815,0.0009536590659990907,0.0004943968358602505,0.0006591957811470006,0.000988793671720501,0.500439463854098,0.501408114821525,0.5183124588002637,0.35138097787667005
7,"all_inverse_edges,no_changes,universal_edges",21,21,3,0.6931471824645996,1,7,0.0004403075921194007,0.0007639824373958012,9.07479661796242,1,0.6931471824645996,0.0002730546402744949,0.0002734741719905287,0.0,0.00016479894528675015,0.0003295978905735003,0.501854795972443,0.500097575460032,0.501268951878708,0.35091942132248327,1,0.6931471824645996,0.0004741573065984994,0.0004742089076898992,0.0,0.00016479894528675015,0.0008239947264337508,0.5012343764137165,0.49968826635544245,0.49594594594594593,0.35029038070179175,1,0.6931471824645996,0.0005731569835916162,0.0005732396966777742,0.00016479894528675015,0.00016479894528675015,0.0008239947264337508,0.5019905127509144,0.5006120610992936,0.5079597890573501,0.351417441171039
8,"universal_edges,no_changes,all_inverse_edges",24,24,3,0.6931471824645996,1,8,0.0004201867268420756,0.0007639824373958012,9.086450742790475,1,0.6931471824645996,0.00034585915273055434,0.0003459279832895845,0.0,0.0,0.0004943968358602505,0.5015639743042899,0.5001731005354515,0.5022511535926171,0.35085140855689184,1,0.6931471824645996,0.0005347012192942202,0.0005349452258087695,0.00016479894528675015,0.00016479894528675015,0.0008239947264337508,0.49888841495728153,0.4994099924692284,0.4923269611074489,0.34898985124402826,1,0.6931471824645996,0.0003796169476117939,0.0003796869714278728,0.0,0.0,0.0008239947264337508,0.4999224475551592,0.5000838884383705,0.5010909690177983,0.35002932203405734
9,"universal_edges,all_inverse_edges,no_changes",27,27,3,0.6931471824645996,1,9,0.0003895225818268955,0.0007639824373958012,9.082044128095731,1,0.6931471824645996,0.0002467223966959864,0.00024676547036506236,0.0,0.00016479894528675015,0.00016479894528675015,0.4984037121770264,0.4988569874587466,0.4851351351351352,0.3483023921540113,1,0.6931471824645996,0.0004163943522144109,0.0004166152502875775,0.0,0.0,0.0004943968358602505,0.49920508744038156,0.49849101870329426,0.48037574159525376,0.34835497001406085,1,0.6931471824645996,0.0005050542531535029,0.0005051870248280466,0.0,0.0003295978905735003,0.0006591957811470006,0.49921801284785505,0.49855361879323057,0.48118984838497036,0.34841396830057253
10,"all_inverse_edges,universal_edges,no_changes",30,30,3,0.6931471824645996,1,10,0.00040161359841780114,0.0007639824373958012,9.069853452965617,1,0.6931471824645996,0.00018554579582996666,0.00018559473392087966,0.0,0.0,0.00016479894528675015,0.5000517016298939,0.4982385713414631,0.4770929466051418,0.34852237757751664,1,0.6931471824645996,0.0005296948365867138,0.0005298120086081326,0.00016479894528675015,0.0003295978905735003,0.0006591957811470006,0.49896596740212235,0.49829536352791887,0.47783124588002635,0.3480807480749459,1,0.6931471824645996,0.0004893528530374169,0.0004894340527243912,0.00016479894528675015,0.00016479894528675015,0.0006591957811470006,0.5008660023007225,0.49849402659559106,0.48041529334212263,0.3491073487295045
